time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.connected,.armed,.guided,.manual_input,.mode,.system_status
2025/07/05/17:47:55.665390,1003,1751712475,515069424,,True,True,False,False,HOLD,5
2025/07/05/17:47:56.475024,1004,1751712476,474443273,,True,True,False,False,HOLD,5
2025/07/05/17:47:57.496660,1005,1751712477,495650346,,True,True,False,False,HOLD,5
2025/07/05/17:47:58.495332,1006,1751712478,495032251,,True,True,False,False,HOLD,5
2025/07/05/17:47:59.476235,1007,1751712479,475051947,,True,True,False,False,HOLD,5
2025/07/05/17:48:00.496027,1008,1751712480,495104006,,True,True,False,False,HOLD,5
2025/07/05/17:48:01.515876,1009,1751712481,515101499,,True,True,False,False,HOLD,5
2025/07/05/17:48:02.475136,1010,1751712482,474323841,,True,True,False,False,HOLD,5
2025/07/05/17:48:03.495617,1011,1751712483,495165244,,True,True,False,False,HOLD,5
2025/07/05/17:48:04.515519,1012,1751712484,515021221,,True,True,False,False,HOLD,5
2025/07/05/17:48:05.474846,1013,1751712485,474226834,,True,True,False,False,HOLD,5
2025/07/05/17:48:06.495276,1014,1751712486,495010379,,True,True,False,False,HOLD,5
2025/07/05/17:48:07.495440,1015,1751712487,494932308,,True,True,False,False,HOLD,5
2025/07/05/17:48:08.474980,1016,1751712488,474276355,,True,True,False,False,HOLD,5
2025/07/05/17:48:09.495118,1017,1751712489,494640187,,True,True,False,False,HOLD,5
2025/07/05/17:48:10.514763,1018,1751712490,514288663,,True,True,False,False,HOLD,5
2025/07/05/17:48:11.474997,1019,1751712491,474099619,,True,True,False,False,HOLD,5
2025/07/05/17:48:12.495560,1020,1751712492,495035642,,True,True,False,False,HOLD,5
2025/07/05/17:48:13.514643,1021,1751712493,514173367,,True,True,False,False,HOLD,5
2025/07/05/17:48:14.474799,1022,1751712494,474290284,,True,True,False,False,HOLD,5
2025/07/05/17:48:15.495510,1023,1751712495,495073821,,True,True,False,False,HOLD,5
2025/07/05/17:48:16.495806,1024,1751712496,495112963,,True,True,False,False,HOLD,5
2025/07/05/17:48:17.474754,1025,1751712497,474182695,,True,True,False,False,HOLD,5
2025/07/05/17:48:18.495495,1026,1751712498,495023220,,True,True,False,False,HOLD,5
2025/07/05/17:48:19.515279,1027,1751712499,514291712,,True,True,False,False,HOLD,5
2025/07/05/17:48:20.474064,1028,1751712500,473323304,,True,True,False,False,HOLD,5
2025/07/05/17:48:21.495645,1029,1751712501,495092328,,True,True,False,False,HOLD,5
2025/07/05/17:48:22.495299,1030,1751712502,494980651,,True,True,False,False,HOLD,5
2025/07/05/17:48:23.474742,1031,1751712503,474214615,,True,True,False,False,HOLD,5
2025/07/05/17:48:24.494919,1032,1751712504,494100990,,True,True,False,False,HOLD,5
2025/07/05/17:48:25.514471,1033,1751712505,513716781,,True,True,False,False,HOLD,5
2025/07/05/17:48:26.473737,1034,1751712506,473103143,,True,True,False,False,HOLD,5
2025/07/05/17:48:27.495072,1035,1751712507,494488513,,True,True,False,False,HOLD,5
2025/07/05/17:48:28.494570,1036,1751712508,494065140,,True,True,False,False,HOLD,5
2025/07/05/17:48:29.474003,1037,1751712509,473254826,,True,True,False,False,HOLD,5
2025/07/05/17:48:30.494648,1038,1751712510,494173496,,True,True,False,False,HOLD,5
2025/07/05/17:48:31.494703,1039,1751712511,494181894,,True,True,False,False,HOLD,5
2025/07/05/17:48:32.473750,1040,1751712512,473308171,,True,True,False,False,HOLD,5
2025/07/05/17:48:33.494629,1041,1751712513,494224837,,True,True,False,False,HOLD,5
2025/07/05/17:48:34.494735,1042,1751712514,494259777,,True,True,False,False,HOLD,5
2025/07/05/17:48:35.474053,1043,1751712515,473172611,,True,True,False,False,HOLD,5
2025/07/05/17:48:36.495163,1044,1751712516,494237501,,True,True,False,False,HOLD,5
2025/07/05/17:48:37.494701,1045,1751712517,494244495,,True,True,False,False,HOLD,5
2025/07/05/17:48:38.474002,1046,1751712518,473297061,,True,True,False,False,HOLD,5
2025/07/05/17:48:39.494690,1047,1751712519,494207033,,True,True,False,False,HOLD,5
2025/07/05/17:48:40.495032,1048,1751712520,494205379,,True,True,False,False,HOLD,5
2025/07/05/17:48:41.473905,1049,1751712521,473297175,,True,True,False,False,HOLD,5
2025/07/05/17:48:42.495636,1050,1751712522,494183088,,True,True,False,False,HOLD,5
2025/07/05/17:48:43.513960,1051,1751712523,513296649,,True,True,False,False,HOLD,5
2025/07/05/17:48:44.476006,1052,1751712524,473742341,,True,True,False,False,HOLD,5
2025/07/05/17:48:45.495011,1053,1751712525,494306190,,True,True,False,False,HOLD,5
2025/07/05/17:48:46.513734,1054,1751712526,513243069,,True,True,False,False,HOLD,5
2025/07/05/17:48:47.473125,1055,1751712527,472189711,,True,True,False,False,HOLD,5
2025/07/05/17:48:48.494040,1056,1751712528,493356113,,True,True,False,False,HOLD,5
2025/07/05/17:48:49.513937,1057,1751712529,513213554,,True,True,False,False,HOLD,5
2025/07/05/17:48:50.473465,1058,1751712530,472570861,,True,True,False,False,HOLD,5
2025/07/05/17:48:51.494478,1059,1751712531,494090621,,True,True,False,False,HOLD,5
2025/07/05/17:48:52.494615,1060,1751712532,494178324,,True,True,False,False,HOLD,5
2025/07/05/17:48:53.474086,1061,1751712533,473241040,,True,True,False,False,HOLD,5
2025/07/05/17:48:54.493675,1062,1751712534,493243090,,True,True,False,False,HOLD,5
2025/07/05/17:48:55.494577,1063,1751712535,494183308,,True,True,False,False,HOLD,5
2025/07/05/17:48:56.472942,1064,1751712536,471911182,,True,True,False,False,HOLD,5
2025/07/05/17:48:57.493593,1065,1751712537,492858566,,True,True,False,False,HOLD,5
2025/07/05/17:48:58.513168,1066,1751712538,512955306,,True,True,False,False,HOLD,5
2025/07/05/17:48:59.472733,1067,1751712539,472102328,,True,True,False,False,HOLD,5
2025/07/05/17:49:00.493548,1068,1751712540,492875492,,True,True,False,False,HOLD,5
2025/07/05/17:49:01.513647,1069,1751712541,513304965,,True,True,False,False,HOLD,5
2025/07/05/17:49:02.472981,1070,1751712542,472255370,,True,True,False,False,HOLD,5
2025/07/05/17:49:03.493706,1071,1751712543,492776212,,True,True,False,False,HOLD,5
